Av. Ipiranga, 740,-30.04809176,-51.2209003
Av. Ipiranga, 694,-30.04807005,-51.22147307
Av. Ipiranga, 600,-30.04800104,-51.22236067
Av. Ipiranga, 906,-30.04794549,-51.21876883
Av. Ipiranga, 490,-30.04790209,-51.22357196
Av. Ipiranga, 332,-30.04778903,-51.22498063
Av. Ipiranga, 1090,-30.04778886,-51.21745218
Av. Ipiranga, 310,-30.04777301,-51.22518163
R. Dezessete de Junho, 879,-30.04762367,-51.22010317
Av. Getulio Vargas, 369,-30.04761869,-51.22153033
R. Dezessete de Junho, 811,-30.04751826,-51.22145281
R. Dezessete de Junho, 721,-30.04747256,-51.22198843
Av. Ipiranga, 1280,-30.04744572,-51.21480613
Av. Getulio Vargas, 327,-30.04740949,-51.22150155
R. Dezessete de Junho, 629,-30.04737828,-51.22308864
Av. Ipiranga, 1400,-30.04730123,-51.21370014
R. Dezessete de Junho, 529,-30.04729092,-51.22411286
R. Dezessete de Junho, 465,-30.04722461,-51.22490373
R. Dezessete de Junho, 391,-30.04714792,-51.22581817
R. Dezessete de Junho, 387,-30.04714041,-51.22590799
R. Joao Neves da Fontoura, 15,-30.04712,-51.217248
R. Jornal do Brasil, 111,-30.04711029,-51.21750545
Av. Ipiranga, 1450,-30.04709904,-51.21287312
Av. Getulio Vargas, 276,-30.04697011,-51.22135812
R. Gen. Lima e Silva, 1704,-30.04688108,-51.21489707
R. Joao Neves da Fontoura, 193,-30.04687719,-51.21530709
Av. da Azenha, 305,-30.04677269,-51.21387026
Av. Ipiranga, 1500,-30.0467328,-51.21212135
R. Baroneza do Gravatai, 640,-30.0465988,-51.22574943
R. Mucio Teixeira, 241,-30.04656023,-51.22382399
R. Cel. Andre Belo, 728,-30.0464776,-51.22167897
Av. Praia de Belas, 799,-30.04644821,-51.22744724
Av. Joao Pessoa, 1914,-30.04642748,-51.21229285
R. Cel. Andre Belo, 650,-30.04637111,-51.22252372
Av. Getulio Vargas, 162,-30.0463441,-51.22127109
R. Alm. Alvaro A da Motta e Silva, 190,-30.04631588,-51.22043333
R. Cel. Andre Belo, 590,-30.0462892,-51.22317353
Av. Getulio Vargas, 143,-30.046269,-51.22134387
R. Edmundo Bitencourt, 96,-30.0462377,-51.22813541
R. Jose Honorato Dos Santos, 100,-30.04621986,-51.21652682
R. Manoelito de Ornellas, 35,-30.04621181,-51.23095943
R. Cel. Andre Belo, 520,-30.04620967,-51.22383584
Av. da Azenha, 239,-30.04614927,-51.2140041
R. Cel. Andre Belo, 452,-30.04613066,-51.22473662
R. Baroneza do Gravatai, 611,-30.04612591,-51.22576575
R. Cel. Andre Belo, 394,-30.04606326,-51.22550493
R. Gen. Lima e Silva, 1616,-30.04600118,-51.2151827
R. Otto Ernst Meyer, 95,-30.04597219,-51.21608265
R. Alm. Alvaro A da Motta e Silva, 147,-30.0459474,-51.22046626
R. Luiz Manoel, 5,-30.04593624,-51.21257946
Av. Joao Pessoa, 1863,-30.04586336,-51.21282959
R. Mucio Teixeira, 135,-30.04576835,-51.22371203
R. Otto Ernst Meyer, 123,-30.04575975,-51.21617101
R. Dra Rita Lobato, 191,-30.04563424,-51.22746422
R. Delegado Grant, 12,-30.04560199,-51.21092833
R. Dra Rita Lobato, 109,-30.04559223,-51.22793065
R. Celeste Gobbato, 23,-30.04550174,-51.23001895
R. Santana, 807,-30.04543977,-51.20983555
R. Luiz Manoel, 55,-30.04540004,-51.21156931
Av. da Azenha, 155,-30.04528945,-51.214181
R. Mucio Teixeira, 100,-30.04527326,-51.22356
R. Alm. Alvaro A da Motta e Silva, 52,-30.04523026,-51.22028058
R. Dr. Sebastiao Leao, 31,-30.04520254,-51.21755569
R. Dr. Sebastiao Leao, 111,-30.04500143,-51.21720783
R. Gen. Lima e Silva, 1510,-30.04496659,-51.21551575
R. Luiz Manoel, 121,-30.0449369,-51.21072073
R. Gen. Sergio Oliveira, 31,-30.04486244,-51.22784472
Av. Getulio Vargas, 70,-30.04483226,-51.22106728
R. Barao do Gravatai, 762,-30.04482854,-51.22117007
R. Barao do Gravatai, 680,-30.04475566,-51.22182671
R. Baroneza do Gravatai, 429,-30.04471762,-51.22579942
R. Barao do Gravatai, 620,-30.04470234,-51.22230718
R. Celeste Gobbato, 119,-30.04466974,-51.22991153
R. Lobo da Costa, 19,-30.04466213,-51.21815478
R. Mucio Teixeira, 43,-30.0446422,-51.22355626
R. Dr. Olinto de Oliveira, 70,-30.04463764,-51.20913704
R. Barao do Gravatai, 494,-30.04459035,-51.22331616
R. Celeste Gobbato, 229,-30.04454193,-51.23074571
R. Santana, 762,-30.04451036,-51.21040179
Av. Praia de Belas, 579,-30.04450386,-51.22762952
R. Barao do Gravatai, 465,-30.04447976,-51.2249561
R. Celeste Gobbato, 199,-30.0444489,-51.23047798
R. Barao do Gravatai, 228,-30.04444619,-51.22720869
Av. Piratini, 109,-30.04443378,-51.21328034
R. Dr. Olinto de Oliveira, 100,-30.04441749,-51.20873757
R. Dr. Sebastiao Leao, 171,-30.04440569,-51.21617591
R. Barao do Gravatai, 400,-30.04439679,-51.22505159
Pca. Garibaldi, 22,-30.04436239,-51.219245
R. Barao do Gravatai, 302,-30.04434455,-51.2261673
Av. Borges de Medeiros, 2233,-30.04431139,-51.22901965
R. Quatro Jacos, 40,-30.04430145,-51.22135256
R. Gen. Lima e Silva, 1440,-30.04429045,-51.21597271
R. Dr. Vicente de Paula Dutra, 196,-30.04423821,-51.22984013
Av. Piratini, 76,-30.04423333,-51.21349422
R. Ismael Chaves Barcelos, 43,-30.04423272,-51.22822743
R. Jose do Patrocinio, 1197,-30.0442326,-51.21910811
Av. Borges de Medeiros, 2105,-30.04422962,-51.22900972
R. Lobo da Costa, 109,-30.04416426,-51.21730384
Trav. Pesqueiro, 77,-30.04411805,-51.22466201
R. Olavo Bilac, 12,-30.04409851,-51.21895675
R. Jacinto Gomes, 683,-30.04408624,-51.20882687
R. Dr. Sebastiao Leao, 245,-30.04406339,-51.21556903
Av. Erico Verissimo, 15,-30.04405013,-51.22078869
Av. Erico Verissimo, 20,-30.04404675,-51.22066217
R. Santana, 688,-30.04401452,-51.21075182
R. Santana, 667,-30.04394592,-51.21089759
Av. Aureliano de Figueiredo Pinto, 975,-30.04386432,-51.22112727
R. Lobo da Costa, 165,-30.04385447,-51.21677436
R. Laurindo, 52,-30.04379314,-51.21360951
Av. Aureliano de Figueiredo Pinto, 964,-30.04371185,-51.22140217
R. Baroneza do Gravatai, 331,-30.04370462,-51.22597487
R. Santana, 640,-30.04369289,-51.21097886
R. Jose do Patrocinio, 1091,-30.04365833,-51.21954348
Av. Aureliano de Figueiredo Pinto, 892,-30.0435984,-51.22225849
R. Dr. Vicente de Paula Dutra, 78,-30.04359819,-51.2301573
Av. Aureliano de Figueiredo Pinto, 777,-30.0435713,-51.22348038
R. Dr. Vicente de Paula Dutra, 314,-30.04354824,-51.22948071
Av. Praia de Belas, 576,-30.04354062,-51.22768273
R. Lobo da Costa, 227,-30.04353448,-51.21622939
Trav. Pesqueiro, 8,-30.04352432,-51.22450495
Av. Aureliano de Figueiredo Pinto, 806,-30.04352101,-51.22321519
R. Dr. Sebastiao Leao, 321,-30.04351781,-51.21462938
R. Olavo Bilac, 126,-30.04350117,-51.21794244
R. Santa Terezinha, 701,-30.04350068,-51.20965051
Av. Joao Pessoa, 1401,-30.04339183,-51.21477398
R. Laurindo, 148,-30.04337138,-51.21259378
Av. Aureliano de Figueiredo Pinto, 545,-30.0433369,-51.22603036
R. Santa Terezinha, 642,-30.04331643,-51.20959668
Av. Jeronimo de Ornelas, 49,-30.0432878,-51.21425369
R. Santana, 570,-30.04322385,-51.21130997
Av. Aureliano de Figueiredo Pinto, 455,-30.04321041,-51.22734237
R. Joaquim Nabuco, 525,-30.04311868,-51.22380714
Av. Joao Pessoa, 1364,-30.04309785,-51.21489325
R. Jacinto Gomes, 597,-30.0430951,-51.20894952
R. Olavo Bilac, 206,-30.04308198,-51.21723066
Av. Venancio Aires, 23,-30.04305696,-51.21957882
