R. Jose de Alencar, 177,-30.05952994,-51.23070751
R. Jose de Alencar, 186,-30.05946585,-51.2302385
Av. Praia de Belas, 2310,-30.05932362,-51.23014133
Av. Borges de Medeiros, 3200,-30.0542113,-51.23009005
Av. Praia de Belas, 2290,-30.05894744,-51.23001368
Av. Borges de Medeiros, 3120,-30.05348415,-51.23000452
Av. Praia de Belas, 2280,-30.05875936,-51.22994986
Av. Praia de Belas, 2251,-30.05842529,-51.22993058
Av. Praia de Belas, 2254,-30.05844913,-51.22985205
Av. Borges de Medeiros, 2900,-30.0513984,-51.22976034
Av. Praia de Belas, 2155,-30.05774007,-51.22971441
Av. Praia de Belas, 2184,-30.05790133,-51.22967931
Av. Praia de Belas, 2170,-30.0577355,-51.22962693
R. Costa, 30,-30.05838116,-51.22948948
Av. Praia de Belas, 2124,-30.05719066,-51.22945483
R. Costa, 40,-30.05839946,-51.22935626
Av. Praia de Belas, 1948,-30.05584009,-51.22907941
R. Jose de Alencar, 295,-30.05971534,-51.22894841
R. Jose de Alencar, 286,-30.05965861,-51.2288294
R. Barbedo, 250,-30.05720861,-51.22880659
Av. Praia de Belas, 1749,-30.05412764,-51.22874342
Av. Praia de Belas, 1705,-30.05369688,-51.22866652
Av. Praia de Belas, 1750,-30.05390454,-51.22861969
Av. Praia de Belas, 1595,-30.0527181,-51.22849216
Av. Praia de Belas, 1666,-30.05317184,-51.2284887
Av. Praia de Belas, 1591,-30.0526812,-51.22848562
R. Jose de Alencar, 314,-30.05970954,-51.22845807
Av. Praia de Belas, 1590,-30.05254582,-51.22837767
R. Costa, 140,-30.05854502,-51.22828755
Av. Praia de Belas, 1520,-30.05188248,-51.22826144
R. Costa, 151,-30.05863643,-51.2281514
Av. Praia de Belas, 1480,-30.05112343,-51.22813071
Av. Praia de Belas, 1432,-30.05110279,-51.22812722
Av. Praia de Belas, 1400,-30.05077417,-51.22807177
Av. Praia de Belas, 1380,-30.05056879,-51.22803711
Av. Ganzo, 20,-30.05137977,-51.22802361
R. Costa, 200,-30.05858122,-51.22801946
R. Jose de Alencar, 386,-30.05977304,-51.22799512
Av. Bastian, 12,-30.05025176,-51.22791394
R. Marcilio Dias, 280,-30.04903532,-51.22781732
Av. Praia de Belas, 1182,-30.04923778,-51.22781025
Av. Borges de Medeiros, 459,-30.03058427,-51.22780924
Av. Bastian, 55,-30.05034154,-51.22775031
R. Comendador Rodolfo Gomes, 263,-30.05506105,-51.227703
Av. Praia de Belas, 1100,-30.04808861,-51.22761961
R. Jose de Alencar, 399,-30.05992779,-51.22739937
R. Barbedo, 388,-30.05735268,-51.22720168
R. Botafogo, 328,-30.05397799,-51.22719131
R. Botafogo, 349,-30.05405393,-51.2271638
Av. Ganzo, 105,-30.05154584,-51.22708776
R. Marcilio Dias, 291,-30.04920176,-51.22708016
Pca. Quinze de Novembro,-30.028056,-51.22702978
Lg. Visconde do Cairu, 12,-30.02631937,-51.22695117
R. Jose de Alencar, 480,-30.05991705,-51.22693745
Lg. Visconde do Cairu, 17,-30.02670594,-51.22690272
Pca. Pereira Parobe, 130,-30.02782232,-51.22689986
Pca. Quinze de Novembro, 16,-30.02792385,-51.22684159
Pca. Quinze de Novembro, 76,-30.02854554,-51.22676308
R. Costa, 271,-30.05883067,-51.22673738
Pca. Pereira Parobe, 74,-30.02736159,-51.22668852
R. Botafogo, 400,-30.05404089,-51.22653987
Av. Ipiranga, 295,-30.04821333,-51.2265024
R. Jose de Alencar, 515,-30.06005145,-51.22648829
R. Comendador Rodolfo Gomes, 413,-30.05516148,-51.22646786
Av. Ipiranga, 321,-30.04824463,-51.22611503
R. Marcilio Dias, 418,-30.04927693,-51.22575855
R. Vigario Jose Ignacio, 395,-30.02940346,-51.22575796
R. Vigario Jose Ignacio, 383,-30.02928937,-51.22574677
R. Jose de Alencar, 578,-30.06008495,-51.22570944
Av. Bastian, 212,-30.05048312,-51.22569907
R. Jose de Alencar, 614,-30.06009454,-51.2256379
R. Jose de Alencar, 609,-30.06016819,-51.22563325
R. Vigario Jose Ignacio, 368,-30.02890379,-51.2256257
R. Barbedo, 535,-30.0575652,-51.22558914
R. Botafogo, 461,-30.05419804,-51.22558511
Av. Bastian, 331,-30.05058136,-51.22545652
R. Mucio Teixeira, 1602,-30.05822334,-51.22541493
R. Mucio Teixeira, 1463,-30.05673259,-51.22528096
Pca. Rui Barbosa, 39,-30.02565662,-51.22499982
Pca. Rui Barbosa, 57,-30.02588001,-51.22492636
R. Mucio Teixeira, 1093,-30.05409833,-51.22490782
Av. Ganzo, 520,-30.0516835,-51.22489721
Av. Ipiranga, 403,-30.04834335,-51.22489334
R. Botafogo, 526,-30.05418653,-51.22489146
R. Comendador Rodolfo Gomes, 576,-30.05522164,-51.22480902
R. Jose de Alencar, 705,-30.06027958,-51.22480549
R. Costa, 407,-30.05909429,-51.22480504
Av. Ganzo, 525,-30.05177302,-51.22471542
R. Dr. Flores, 105,-30.02819078,-51.22463204
R. Jose de Alencar, 714,-30.06024317,-51.22453973
R. Barbedo, 629,-30.05766452,-51.22451496
R. Mucio Teixeira, 724,-30.05175706,-51.22450553
R. Barbedo, 640,-30.05760106,-51.22441948
R. Marcilio Dias, 525,-30.04950464,-51.22439059
R. Botafogo, 565,-30.05430619,-51.22437954
R. Mucio Teixeira, 660,-30.05066582,-51.22434442
Av. Ipiranga, 441,-30.04838909,-51.22432718
R. Comendador Rodolfo Gomes, 631,-30.05533501,-51.22425667
R. Visconde do Herval, 460,-30.05306408,-51.22425472
R. Mucio Teixeira, 575,-30.04948997,-51.22420078
R. Mucio Teixeira, 573,-30.04947255,-51.22419822
R. Barbedo, 662,-30.0576238,-51.22418186
Av. Bastian, 396,-30.05066588,-51.22399898
Pca. OtAv.io Rocha, 77,-30.02879879,-51.22384338
R. Jose de Alencar, 774,-30.06034389,-51.22380593
R. Jose de Alencar, 773,-30.0604227,-51.22376398
Av. Alberto Bins, 308,-30.02816092,-51.22367821
Av. Alberto Bins, 320,-30.0281514,-51.22352866
R. Botafogo, 678,-30.05432444,-51.22339236
Av. Ganzo, 655,-30.05190999,-51.2232583
R. Barbedo, 739,-30.0577768,-51.22323439
R. Jose de Alencar, 852,-30.06042362,-51.22322746
Av. Getulio Vargas, 1734,-30.06040105,-51.22321574
Av. Getulio Vargas, 1671,-30.05974737,-51.22321019
Av. Getulio Vargas, 1625,-30.05925699,-51.22314336
Av. Getulio Vargas, 1676,-30.05983651,-51.2231388
Av. Getulio Vargas, 1565,-30.05861736,-51.22305618
R. Visconde do Herval, 587,-30.05324897,-51.22304737
Av. Getulio Vargas, 1596,-30.05905784,-51.22303267
Av. Getulio Vargas, 1485,-30.05776452,-51.22293995
Av. Getulio Vargas, 1526,-30.05837649,-51.22293982
R. Jose de Alencar, 869,-30.06053999,-51.22289626
Av. Getulio Vargas, 1433,-30.05745108,-51.22289291
R. Saldanha Marinho, 30,-30.05765623,-51.22288048
Av. Ganzo, 692,-30.05187333,-51.2228764
Av. Getulio Vargas, 1470,-30.05783142,-51.22286553
R. Marcilio Dias, 660,-30.04960885,-51.22280171
Av. Getulio Vargas, 1384,-30.05728779,-51.22278651
Av. Getulio Vargas, 1345,-30.05658326,-51.22277161
Av. Getulio Vargas, 1271,-30.0558535,-51.2226696
Av. Getulio Vargas, 1250,-30.05591871,-51.22259515
Av. Getulio Vargas, 1185,-30.05508737,-51.22256111
Av. Getulio Vargas, 1210,-30.05551003,-51.22253802
Av. Getulio Vargas, 1107,-30.05443981,-51.22246786
Av. Getulio Vargas, 1081,-30.05437319,-51.22245878
R. Jose de Alencar, 910,-30.06053192,-51.22241577
Av. Getulio Vargas, 1130,-30.05459214,-51.22240619
Av. Getulio Vargas, 983,-30.05328115,-51.22230989
Av. Ipiranga, 585,-30.04855279,-51.22227641
Av. Bastian, 549,-30.05092544,-51.2222374
Av. Getulio Vargas, 990,-30.05331072,-51.22223039
Av. Getulio Vargas, 889,-30.0524164,-51.2221924
Av. Getulio Vargas, 865,-30.05211991,-51.22215212
R. Botafogo, 847,-30.05451162,-51.22210345
Av. Getulio Vargas, 884,-30.05234087,-51.2220986
Av. Getulio Vargas, 838,-30.05200256,-51.2220615
Av. Getulio Vargas, 759,-30.05134021,-51.22204735
Av. Getulio Vargas, 693,-30.05091602,-51.22198473
R. Sofia Veloso, 111,-30.03665575,-51.22196514
Av. Getulio Vargas, 774,-30.05132635,-51.22196167
R. Gen. Caldwell, 620,-30.05088443,-51.22193858
R. Jose de Alencar, 943,-30.0606702,-51.22193315
R. Jose de Alencar, 998,-30.06059886,-51.22192061
R. Jose de Alencar, 946,-30.06059887,-51.22192051
Av. Getulio Vargas, 736,-30.05092485,-51.2219024
Av. Getulio Vargas, 708,-30.0508503,-51.22189226
Av. Ipiranga, 609,-30.04858386,-51.22188631
R. Saldanha Marinho, 98,-30.0577474,-51.22188312
R. Barao do Triunfo, 20,-30.05208803,-51.22185818
R. Visconde do Herval, 725,-30.05336142,-51.22184559
Av. Getulio Vargas, 577,-30.04975369,-51.22182672
R. Botafogo, 876,-30.05446562,-51.22182615
R. Marcilio Dias, 763,-30.04979376,-51.22179079
R. Goncalves Dias, 1148,-30.0601027,-51.22178239
Av. Getulio Vargas, 620,-30.04976221,-51.22174435
Av. Getulio Vargas, 588,-30.04965609,-51.22172979
R. Goncalves Dias, 1039,-30.05906725,-51.22166707
Av. Getulio Vargas, 481,-30.04856436,-51.22166365
R. Marcilio Dias, 846,-30.04974046,-51.22159422
R. Goncalves Dias, 1022,-30.05900978,-51.22157188
R. Marcilio Dias, 835,-30.04982238,-51.22149971
Av. Ipiranga, 685,-30.04862897,-51.22129619
R. Saldanha Marinho, 167,-30.05789165,-51.22107427
R. Goncalves Dias, 760,-30.05690451,-51.22107375
R. Goncalves Dias, 661,-30.05595033,-51.2210215
R. Jose de Alencar, 1017,-30.06079763,-51.22097566
R. Goncalves Dias, 650,-30.05575526,-51.22091013
Av. Ipiranga, 735,-30.04865851,-51.22088178
R. Goncalves Dias, 555,-30.0547746,-51.22085411
R. Goncalves Dias, 570,-30.05491944,-51.22079114
R. Goncalves Dias, 449,-30.05422026,-51.22077521
R. Barao do Triunfo, 89,-30.05228156,-51.2206477
R. Goncalves Dias, 402,-30.05344446,-51.22058864
R. Gen. Caldwell, 715,-30.0510984,-51.2205877
R. Goncalves Dias, 304,-30.05271714,-51.22049397
R. Goncalves Dias, 203,-30.05195887,-51.22047533
R. Barao do Triunfo, 168,-30.05222645,-51.22047215
R. Jose de Alencar, 1098,-30.06081006,-51.22033374
R. Gen. Caldwell, 724,-30.0510552,-51.22030581
R. Saldanha Marinho, 240,-30.05788697,-51.22028613
R. Botafogo, 981,-30.05468503,-51.22027437
R. Goncalves Dias, 54,-30.05047801,-51.22017922
R. Marcilio Dias, 919,-30.04995561,-51.22014413
R. Visconde do Herval, 881,-30.05352725,-51.22006608
R. Barao do Triunfo, 217,-30.0523511,-51.21990854
R. Marcilio Dias, 1056,-30.04991259,-51.21982168
R. Marcilio Dias, 965,-30.04998958,-51.21977338
R. Jose de Alencar, 1182,-30.06079019,-51.21971986
R. Botafogo, 1051,-30.05476071,-51.21945081
R. Saldanha Marinho, 327,-30.058047,-51.21927746
R. Jose de Alencar, 1149,-30.06074703,-51.21915204
R. Jose de Alencar, 1260,-30.06059797,-51.21901453
R. Jose de Alencar, 1356,-30.06042797,-51.21867593
R. Visconde do Herval, 970,-30.05358502,-51.21864456
Av. Ipiranga, 999,-30.04847425,-51.21852571
R. Saldanha Marinho, 382,-30.05804351,-51.21849699
R. Gen. Caldwell, 911,-30.0513141,-51.21845967
Av. Erico Verissimo, 921,-30.05343777,-51.21845863
Av. Erico Verissimo, 1021,-30.05453051,-51.21845702
Av. Erico Verissimo, 911,-30.05335987,-51.21845575
Av. Erico Verissimo, 843,-30.05282941,-51.21842209
Av. Erico Verissimo, 1133,-30.05509479,-51.21840091
Av. Erico Verissimo, 1018,-30.05430135,-51.2183938
Av. Erico Verissimo, 775,-30.05245642,-51.21839198
R. Botafogo, 1124,-30.05478624,-51.21838323
Av. Erico Verissimo, 960,-30.05364197,-51.21838319
Av. Erico Verissimo, 900,-30.05321757,-51.21836749
Av. Erico Verissimo, 890,-30.05314306,-51.21836425
Av. Erico Verissimo, 774,-30.05246106,-51.21830919
Av. Erico Verissimo, 637,-30.05104709,-51.21829125
Av. Erico Verissimo, 746,-30.05211515,-51.21828357
Av. Erico Verissimo, 617,-30.05082116,-51.21827785
Av. Erico Verissimo, 1184,-30.05573313,-51.21825129
Av. Erico Verissimo, 700,-30.05154686,-51.21824148
Av. Erico Verissimo, 495,-30.04980445,-51.21821919
Av. Ipiranga, 1075,-30.04843304,-51.21820425
Av. Erico Verissimo, 441,-30.04927535,-51.21819078
Av. Erico Verissimo, 1278,-30.05653571,-51.2181723
Av. Erico Verissimo, 540,-30.05010193,-51.21815212
Av. Erico Verissimo, 500,-30.04981761,-51.21813685
Av. Erico Verissimo, 400,-30.04886611,-51.21811894
R. Jose de Alencar, 1405,-30.06031059,-51.21810267
R. Visconde do Herval, 1061,-30.05370886,-51.21807945
R. Gen. Caldwell, 959,-30.0513535,-51.21806431
R. Botafogo, 1232,-30.05482088,-51.21802415
Av. Erico Verissimo, 1379,-30.0585942,-51.2179797
R. Barao do Triunfo, 391,-30.05253193,-51.21795702
R. Visconde do Herval, 1076,-30.05365202,-51.21790527
R. Botafogo, 1211,-30.0549119,-51.21783334
R. Marcilio Dias, 1168,-30.05010658,-51.21771461
R. Gen. Caldwell, 994,-30.05132771,-51.21758891
R. Germano Hasslocher, 53,-30.05608558,-51.21751869
R. Botafogo, 1292,-30.0548858,-51.21735128
Av. Ipiranga, 1145,-30.04831405,-51.21730764
R. Visconde do Herval, 1141,-30.05379288,-51.21714749
R. Barao do Triunfo, 454,-30.05253684,-51.21713041
R. Marcilio Dias, 1201,-30.05024703,-51.21693628
R. Germano Hasslocher, 134,-30.05602671,-51.21685854
R. Barao do Triunfo, 500,-30.05257211,-51.21675415
Av. Erico Verissimo, 1500,-30.05930082,-51.21668654
R. Gen. Caldwell, 1074,-30.05142564,-51.21659485
R. Visconde do Herval, 1208,-30.05378276,-51.21648465
R. Marcilio Dias, 1288,-30.05021539,-51.21639934
Av. Azenha, 1696,-30.05931867,-51.21638617
R. Barao do Triunfo, 539,-30.05268263,-51.21634571
R. Gen. Caldwell, 1119,-30.05153023,-51.21629139
R. Jose de Alencar, 1621,-30.05931698,-51.216138
R. Gen. Caldwell, 1145,-30.05156588,-51.2159522
Av. Azenha, 1595,-30.0579057,-51.21586225
R. Marcilio Dias, 1345,-30.05032544,-51.21584353
R. Germano Hasslocher, 203,-30.05612335,-51.21581327
Av. Azenha, 1535,-30.0578527,-51.21581295
R. Visconde do Herval, 1263,-30.05392348,-51.21577642
Av. Azenha, 1602,-30.05787041,-51.21573338
R. Jose de Alencar, 1678,-30.05899423,-51.2156076
Av. Ipiranga, 1231,-30.0481003,-51.21556728
R. Gen. Caldwell, 1175,-30.05160702,-51.21556083
R. Botafogo, 1422,-30.0550609,-51.21546969
R. Dona Cecilia, 18,-30.05769326,-51.2154689
R. Marcilio Dias, 1390,-30.05028962,-51.21530379
R. Jose de Alencar, 1689,-30.05891873,-51.21526262
Av. Azenha, 1429,-30.05659749,-51.21524652
R. Botafogo, 1458,-30.05508375,-51.21522321
R. Vinte de Setembro, 339,-30.05359611,-51.21517858
R. Visconde do Herval, 1320,-30.0539087,-51.21517509
R. Prof. Freitas e Castro, 211,-30.04941301,-51.21516837
R. Vinte de Setembro, 360,-30.0539484,-51.2151384
Av. Azenha, 1486,-30.05653125,-51.21512937
R. Barao do Triunfo, 636,-30.05272714,-51.21508517
R. Jose de Alencar, 1705,-30.05882502,-51.21505665
Av. Azenha, 1397,-30.05612344,-51.2150422
R. Vinte de Setembro, 264,-30.05278931,-51.21500128
Av. Azenha, 1377,-30.05601994,-51.21499902
R. Barao do Triunfo, 666,-30.05273678,-51.21497949
R. Vinte de Setembro, 220,-30.05250306,-51.21496035
Av. Azenha, 1350,-30.05611865,-51.21495154
R. Gen. Caldwell, 1226,-30.05159882,-51.21494736
R. Vinte de Setembro, 111,-30.05151278,-51.21490175
